date,portfolio_value,cash,positions
2017-03-17,100000.0,100000.0,0
2017-03-20,100000.0,100000.0,0
2017-03-21,100000.0,100000.0,0
2017-03-22,100000.0,100000.0,0
2017-03-23,100000.0,100000.0,0
2017-03-24,100000.0,100000.0,0
2017-03-27,100000.0,100000.0,0
2017-03-28,100000.0,100000.0,0
2017-03-29,100000.0,100000.0,0
2017-03-30,100000.0,100000.0,0
2017-03-31,100000.0,100000.0,0
2017-04-03,100000.0,100000.0,0
2017-04-04,100000.0,100000.0,0
2017-04-05,100000.0,100000.0,0
2017-04-06,100000.0,100000.0,0
2017-04-07,100000.0,100000.0,0
2017-04-10,100000.0,100000.0,0
2017-04-11,100000.0,100000.0,0
2017-04-12,100000.0,100000.0,0
2017-04-13,100000.0,100000.0,0
2017-04-17,100000.0,100000.0,0
2017-04-18,100000.0,100000.0,0
2017-04-19,100000.0,100000.0,0
2017-04-20,100000.0,100000.0,0
2017-04-21,100000.0,100000.0,0
2017-04-24,100000.0,100000.0,0
2017-04-25,100000.0,100000.0,0
2017-04-26,100000.0,100000.0,0
2017-04-27,100000.0,100000.0,0
2017-04-28,100000.0,100000.0,0
2017-05-01,100000.0,100000.0,0
2017-05-02,100000.0,100000.0,0
2017-05-03,100000.0,100000.0,0
2017-05-04,100000.0,100000.0,0
2017-05-05,100000.0,100000.0,0
2017-05-08,100000.0,100000.0,0
2017-05-09,100000.0,100000.0,0
2017-05-10,100000.0,100000.0,0
2017-05-11,100000.0,100000.0,0
2017-05-12,100000.0,100000.0,0
2017-05-15,100000.0,100000.0,0
2017-05-16,100000.0,100000.0,0
2017-05-17,100000.0,100000.0,0
2017-05-18,100000.0,100000.0,0
2017-05-19,100000.0,100000.0,0
2017-05-22,100000.0,100000.0,0
2017-05-23,100000.0,100000.0,0
2017-05-24,100000.0,100000.0,0
2017-05-25,100000.0,100000.0,0
2017-05-26,100000.0,100000.0,0
2017-05-30,100000.0,100000.0,0
2017-05-31,100000.0,100000.0,0
2017-06-01,100000.0,100000.0,0
2017-06-02,100000.0,100000.0,0
2017-06-05,100000.0,100000.0,0
2017-06-06,100000.0,100000.0,0
2017-06-07,100000.0,100000.0,0
2017-06-08,100000.0,100000.0,0
2017-06-09,100000.0,100000.0,0
2017-06-12,100000.0,100000.0,0
2017-06-13,100000.0,100000.0,0
2017-06-14,100000.0,100000.0,0
2017-06-15,100000.0,100000.0,0
2017-06-16,100000.0,100000.0,0
2017-06-19,100000.0,100000.0,0
2017-06-20,100000.0,100000.0,0
2017-06-21,100000.0,100000.0,0
2017-06-22,100000.0,100000.0,0
2017-06-23,100000.0,100000.0,0
2017-06-26,100000.0,100000.0,0
2017-06-27,100000.0,100000.0,0
2017-06-28,100000.0,100000.0,0
2017-06-29,100000.0,100000.0,0
2017-06-30,100000.0,100000.0,0
2017-07-03,100000.0,100000.0,0
2017-07-05,100000.0,100000.0,0
2017-07-06,100000.0,100000.0,0
2017-07-07,100000.0,100000.0,0
2017-07-10,100000.0,100000.0,0
2017-07-11,100000.0,100000.0,0
2017-07-12,100000.0,100000.0,0
2017-07-13,100000.0,100000.0,0
2017-07-14,100000.0,100000.0,0
2017-07-17,100000.0,100000.0,0
2017-07-18,100000.0,100000.0,0
2017-07-19,100000.0,100000.0,0
2017-07-21,100000.0,100000.0,0
2017-07-26,100000.0,100000.0,0
2017-08-04,100000.0,100000.0,0
2017-09-11,100000.0,100000.0,0
2017-09-12,100000.0,100000.0,0
2017-09-13,100000.0,100000.0,0
2017-09-14,100000.0,100000.0,0
2017-10-06,100000.0,100000.0,0
2017-10-09,100000.0,100000.0,0
2017-10-12,100000.0,100000.0,0
2017-10-16,100000.0,100000.0,0
2017-10-17,100000.0,100000.0,0
2017-10-18,100000.0,100000.0,0
2017-10-19,100000.0,100000.0,0
2017-10-20,100000.0,100000.0,0
2017-10-23,100000.0,100000.0,0
2017-10-24,100000.0,100000.0,0
2017-10-25,100000.0,100000.0,0
2017-10-26,100000.0,100000.0,0
2017-10-27,100000.0,100000.0,0
2017-10-30,100000.0,100000.0,0
2017-10-31,100000.0,100000.0,0
2017-11-01,100000.0,100000.0,0
2017-11-02,100000.0,100000.0,0
2017-11-03,100000.0,100000.0,0
2017-11-20,100000.0,100000.0,0
2017-11-21,100000.0,100000.0,0
2017-11-27,100000.0,100000.0,0
2017-11-28,100000.0,100000.0,0
2017-11-30,100000.0,100000.0,0
2017-12-07,100000.0,100000.0,0
2017-12-13,100000.0,100000.0,0
2017-12-14,100000.0,100000.0,0
2017-12-15,100000.0,100000.0,0
2017-12-18,100000.0,100000.0,0
2017-12-19,100000.0,100000.0,0
2017-12-20,100000.0,100000.0,0
2017-12-21,100000.0,100000.0,0
2017-12-22,100000.0,100000.0,0
2017-12-26,100000.0,100000.0,0
2017-12-27,100000.0,100000.0,0
2017-12-28,100000.0,100000.0,0
2017-12-29,100000.0,100000.0,0
2018-01-02,100000.0,100000.0,0
2018-01-03,100000.0,100000.0,0
2018-01-04,100000.0,100000.0,0
2018-01-05,100000.0,100000.0,0
2018-01-08,100000.0,100000.0,0
2018-01-09,100000.0,100000.0,0
2018-01-10,100000.0,100000.0,0
2018-01-11,100000.0,100000.0,0
2018-01-12,100000.0,100000.0,0
2018-01-16,100000.0,100000.0,0
2018-01-17,100000.0,100000.0,0
2018-01-18,100000.0,100000.0,0
2018-01-19,100000.0,100000.0,0
2018-01-22,100000.0,100000.0,0
2018-01-23,100000.0,100000.0,0
2018-01-24,100000.0,100000.0,0
2018-01-25,100000.0,100000.0,0
2018-01-26,100000.0,100000.0,0
2018-01-29,100000.0,100000.0,0
2018-01-30,100000.0,100000.0,0
2018-01-31,100000.0,100000.0,0
2018-02-01,100000.0,100000.0,0
2018-02-02,100000.0,100000.0,0
2018-02-05,100000.0,100000.0,0
2018-02-06,100000.0,100000.0,0
2018-02-07,100000.0,100000.0,0
2018-02-08,100000.0,100000.0,0
2018-02-09,100000.0,100000.0,0
2018-02-12,100000.0,100000.0,0
2018-02-13,100000.0,100000.0,0
2018-02-14,100000.0,100000.0,0
2018-02-15,100000.0,100000.0,0
2018-02-16,100000.0,100000.0,0
2018-02-20,100000.0,100000.0,0
2018-02-21,100000.0,100000.0,0
2018-02-28,100000.0,100000.0,0
2018-03-01,100000.0,100000.0,0
2018-03-02,100000.0,100000.0,0
2018-03-05,100000.0,100000.0,0
2018-03-06,100000.0,100000.0,0
2018-03-07,100000.0,100000.0,0
2018-03-08,100000.0,100000.0,0
2018-03-09,100000.0,100000.0,0
2018-03-12,100000.0,100000.0,0
2018-03-13,100000.0,100000.0,0
2018-03-14,100000.0,100000.0,0
2018-03-15,100000.0,100000.0,0
2018-03-16,100000.0,100000.0,0
2018-04-30,100000.0,100000.0,0
2018-05-01,100000.0,100000.0,0
2018-05-02,100000.0,100000.0,0
2018-05-03,100000.0,100000.0,0
2018-05-04,100000.0,100000.0,0
2018-05-07,100000.0,100000.0,0
2018-05-08,100000.0,100000.0,0
2018-05-09,100000.0,100000.0,0
2018-05-10,100000.0,100000.0,0
2018-05-11,100000.0,100000.0,0
2018-05-14,100000.0,100000.0,0
2018-05-15,100000.0,100000.0,0
2018-05-16,100000.0,100000.0,0
2018-05-17,100000.0,100000.0,0
2018-05-18,100000.0,100000.0,0
2018-05-21,100000.0,100000.0,0
2018-05-22,100000.0,100000.0,0
2018-05-23,100000.0,100000.0,0
2018-05-24,100000.0,100000.0,0
2018-05-25,100000.0,100000.0,0
2018-05-29,100000.0,100000.0,0
2018-05-30,100000.0,100000.0,0
2018-05-31,100000.0,100000.0,0
2018-06-01,100000.0,100000.0,0
2018-06-04,100000.0,100000.0,0
2018-06-05,100000.0,95000.0,1
